timestamp,model,prompt_tokens,completion_tokens,cost,api_key_name
2026-02-22T00:39:19.993234+00:00,gpt-4o,1794,616,0.010645,data_extraction
2026-02-22T00:42:10.824189+00:00,gpt-4o,4006,1691,0.026925,customer_support_agent
2026-02-22T00:53:49.473260+00:00,gpt-4o-mini,29885,7624,0.009057,code_review
2026-02-22T01:32:37.831991+00:00,gpt-4o,1180,311,0.00606,email_drafting
2026-02-22T01:43:01.553934+00:00,gpt-4o,15731,1033,0.049657,doc_qa
2026-02-22T01:44:32.047022+00:00,gpt-4o-mini,4286,1607,0.001607,customer_support_agent
2026-02-22T02:17:37.724721+00:00,gpt-4o,13942,1039,0.045245,doc_qa
2026-02-22T02:31:29.588669+00:00,gpt-4o,2041,828,0.013382,email_drafting
2026-02-22T03:23:58.682524+00:00,gpt-4o,20033,2258,0.072662,doc_qa
2026-02-22T04:04:37.685465+00:00,gpt-4o,4600,503,0.01653,data_extraction
2026-02-22T04:35:32.272125+00:00,gpt-4o-mini,4297,930,0.001203,customer_support_agent
2026-02-22T04:41:23.416121+00:00,gpt-4o-mini,20494,1762,0.004131,doc_qa
2026-02-22T04:43:55.938695+00:00,gpt-4o-mini,39492,3903,0.008266,code_review
2026-02-22T04:47:41.178049+00:00,gpt-4o,33348,6588,0.14925,code_review
2026-02-22T05:10:44.797884+00:00,gpt-4o,1882,927,0.013975,email_drafting
2026-02-22T05:10:46.789611+00:00,gpt-4o-mini,517,986,0.000669,email_drafting
2026-02-22T05:49:01.294572+00:00,gpt-4o,11266,3055,0.058715,doc_qa
2026-02-22T06:27:41.323126+00:00,gpt-4o,1313,321,0.006493,email_drafting
2026-02-22T07:10:23.585907+00:00,gpt-4o-mini,11452,3472,0.003801,doc_qa
2026-02-22T07:57:01.850099+00:00,gpt-4o-mini,33103,2099,0.006225,code_review
2026-02-22T08:56:30.150973+00:00,gpt-4o-mini,4637,1156,0.001389,customer_support_agent
2026-02-22T08:59:02.747182+00:00,gpt-4o-mini,2554,576,0.000729,customer_support_agent
2026-02-22T09:20:11.671145+00:00,gpt-4o-mini,11525,2902,0.00347,code_review
2026-02-22T09:22:55.560457+00:00,gpt-4o,5282,3512,0.048325,doc_qa
2026-02-22T09:35:04.208346+00:00,gpt-4o-mini,24370,2611,0.005222,doc_qa
2026-02-22T09:35:08.190190+00:00,gpt-4o-mini,4453,1439,0.001531,data_extraction
2026-02-22T09:35:36.298938+00:00,gpt-4o-mini,880,345,0.000339,email_drafting
2026-02-22T10:02:45.958984+00:00,gpt-4o,4098,531,0.015555,data_extraction
2026-02-22T10:30:35.717012+00:00,gpt-4o,19681,5865,0.107853,code_review
2026-02-22T11:48:09.855758+00:00,gpt-4o,1619,1167,0.015717,data_extraction
2026-02-22T11:53:46.188142+00:00,gpt-4o-mini,38650,6025,0.009412,code_review
2026-02-22T11:58:42.001078+00:00,gpt-4o,3237,655,0.014642,customer_support_agent
2026-02-22T12:26:24.838304+00:00,gpt-4o,1955,378,0.008668,email_drafting
2026-02-22T12:28:32.469653+00:00,gpt-4o-mini,8176,1911,0.002373,doc_qa
2026-02-22T12:44:14.749921+00:00,gpt-4o,18307,5574,0.101508,code_review
2026-02-22T12:48:35.755033+00:00,gpt-4o-mini,28156,7302,0.008605,code_review
2026-02-22T13:37:06.747482+00:00,gpt-4o,21698,6180,0.116045,code_review
2026-02-22T13:53:46.371357+00:00,gpt-4o,4725,1362,0.025433,data_extraction
2026-02-22T14:03:54.624407+00:00,gpt-4o,2655,1217,0.018807,data_extraction
2026-02-22T14:29:19.679705+00:00,gpt-4o,9539,3621,0.060057,doc_qa
2026-02-22T14:35:12.678132+00:00,gpt-4o-mini,27412,7036,0.008333,code_review
2026-02-22T14:53:38.250051+00:00,gpt-4o,2861,1659,0.023742,customer_support_agent
2026-02-22T15:12:14.906278+00:00,gpt-4o-mini,14470,1290,0.002945,doc_qa
2026-02-22T15:20:16.682832+00:00,gpt-4o,4345,1691,0.027773,customer_support_agent
2026-02-22T16:22:47.429186+00:00,gpt-4o,29080,5780,0.1305,code_review
2026-02-22T16:46:04.526118+00:00,gpt-4o,36097,3018,0.120422,code_review
2026-02-22T16:48:51.637084+00:00,gpt-4o,24896,1223,0.07447,doc_qa
2026-02-22T16:59:42.162638+00:00,gpt-4o-mini,4711,784,0.001177,customer_support_agent
2026-02-22T17:40:43.761512+00:00,gpt-4o,3499,1241,0.021157,customer_support_agent
2026-02-22T17:59:36.528344+00:00,gpt-4o-mini,6649,2117,0.002268,doc_qa
2026-02-22T18:12:39.162878+00:00,gpt-4o,5886,1766,0.032375,customer_support_agent
2026-02-22T19:20:21.346552+00:00,gpt-4o-mini,2669,876,0.000926,data_extraction
2026-02-22T21:17:16.106258+00:00,gpt-4o-mini,7608,2621,0.002714,doc_qa
2026-02-22T21:30:44.490240+00:00,gpt-4o,2642,1289,0.019495,customer_support_agent
2026-02-22T21:31:05.389070+00:00,gpt-4o-mini,4658,542,0.001024,data_extraction
2026-02-22T21:39:58.374879+00:00,gpt-4o,7273,3618,0.054363,doc_qa
2026-02-22T21:48:30.664520+00:00,gpt-4o,39860,7110,0.17075,code_review
2026-02-22T22:56:48.182052+00:00,gpt-4o-mini,3932,1863,0.001708,customer_support_agent
2026-02-22T23:04:30.027467+00:00,gpt-4o,14393,3083,0.066812,code_review
2026-02-22T23:58:32.784338+00:00,gpt-4o,33841,4358,0.128183,code_review
2026-02-23T00:08:09.408313+00:00,gpt-4o-mini,18484,2218,0.004103,doc_qa
2026-02-23T00:15:53.987464+00:00,gpt-4o,14711,7413,0.110907,code_review
2026-02-23T00:44:10.696744+00:00,gpt-4o,8750,2976,0.051635,doc_qa
2026-02-23T00:46:15.506702+00:00,gpt-4o,667,346,0.005128,email_drafting
2026-02-23T01:01:50.120673+00:00,gpt-4o-mini,2156,360,0.000539,email_drafting
2026-02-23T01:49:33.941991+00:00,gpt-4o,24693,2835,0.090082,doc_qa
2026-02-23T02:10:54.825531+00:00,gpt-4o,4689,1091,0.022632,data_extraction
2026-02-23T04:29:20.586327+00:00,gpt-4o-mini,4690,1241,0.001448,customer_support_agent
2026-02-23T04:32:29.179540+00:00,gpt-4o-mini,4799,587,0.001072,customer_support_agent
2026-02-23T04:46:59.176341+00:00,gpt-4o-mini,10327,1353,0.002361,doc_qa
2026-02-23T05:20:55.092683+00:00,gpt-4o-mini,2475,840,0.000875,email_drafting
2026-02-23T07:11:46.246127+00:00,gpt-4o,3217,1399,0.022033,data_extraction
2026-02-23T07:58:51.884750+00:00,gpt-4o-mini,3470,1226,0.001256,customer_support_agent
2026-02-23T08:14:15.461401+00:00,gpt-4o,21296,6455,0.11779,code_review
2026-02-23T08:35:53.667079+00:00,gpt-4o-mini,9827,3691,0.003689,doc_qa
2026-02-23T09:12:12.652396+00:00,gpt-4o,2744,609,0.01295,customer_support_agent
2026-02-23T09:19:16.370808+00:00,gpt-4o,1409,355,0.007073,email_drafting
2026-02-23T10:06:10.290588+00:00,gpt-4o,32144,4527,0.12563,code_review
2026-02-23T10:20:52.297447+00:00,gpt-4o,1648,519,0.00931,data_extraction
2026-02-23T11:03:58.437407+00:00,gpt-4o,2401,926,0.015262,data_extraction
2026-02-23T12:07:45.735930+00:00,gpt-4o,7410,3215,0.050675,code_review
2026-02-23T12:18:07.807714+00:00,gpt-4o,33934,2412,0.108955,code_review
2026-02-23T12:29:35.041579+00:00,gpt-4o,3448,1138,0.02,data_extraction
2026-02-23T12:33:26.745660+00:00,gpt-4o-mini,3103,1723,0.001499,customer_support_agent
2026-02-23T13:00:49.583834+00:00,gpt-4o-mini,7560,3023,0.002948,code_review
2026-02-23T13:03:59.443218+00:00,gpt-4o,7901,3631,0.056063,code_review
2026-02-23T13:05:47.983762+00:00,gpt-4o,5807,994,0.024458,customer_support_agent
2026-02-23T13:14:23.984833+00:00,gpt-4o,4815,1375,0.025787,customer_support_agent
